id;quanttiy;price;dateachat;time
1;Beauty Communications;networks Gloves THX;2020-12-09;2020-12-10T12:51:43
2;Intelligent;Corner synthesizing;2020-12-10;2020-12-09T19:04:56
3;grey;Facilitator synergistic azure;2020-12-09;2020-12-09T17:52:57
4;bus THX;Rubber;2020-12-09;2020-12-09T14:07:20
5;incremental alarm Chips;matrix Convertible Marks;2020-12-09;2020-12-09T17:41:23
6;programming;Coordinator payment Israel;2020-12-09;2020-12-10T01:15:31
7;Integration Intelligent Hawaii;Enterprise-wide;2020-12-09;2020-12-10T11:18:04
8;Yen Virginia;Program online;2020-12-10;2020-12-09T20:02:46
9;Avon;yellow;2020-12-10;2020-12-10T10:00:20
10;calculating Bedfordshire Tunnel;El Salvador Colon US Dollar;2020-12-09;2020-12-09T18:57:59
